gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000152583,954.7709316,4.368358645,0.237126792,18.42203748,8.74E-76,1.34E-71
ENSG00000179094,743.2526884,2.863888659,0.175569314,16.3120114,8.11E-60,6.22E-56
ENSG00000116584,2277.913454,-1.034700772,0.065098436,-15.89440292,6.93E-57,3.54E-53
ENSG00000189221,2383.753707,3.341544024,0.212405785,15.731888,9.14E-56,3.51E-52
ENSG00000120129,3440.703755,2.965210803,0.203695129,14.55710219,5.26E-48,1.62E-44
ENSG00000148175,13493.92037,1.427168281,0.100389041,14.21637524,7.25E-46,1.85E-42
ENSG00000178695,2685.409736,-2.489068938,0.178066074,-13.97834453,2.11E-44,4.63E-41
ENSG00000109906,439.5415209,5.927600019,0.428136869,13.84510525,1.36E-43,2.61E-40
ENSG00000134686,2933.642461,1.439489998,0.105851509,13.59914483,4.05E-42,6.91E-39
ENSG00000101347,14134.99177,3.850414311,0.28487352,13.516224,1.25E-41,1.92E-38
ENSG00000096060,2630.230494,3.945051934,0.292884106,13.4696689,2.36E-41,3.29E-38
ENSG00000166741,7542.25287,2.219590607,0.166737387,13.31189514,1.97E-40,2.52E-37
ENSG00000125148,3695.879462,2.198563571,0.167008739,13.16436241,1.41E-39,1.66E-36
ENSG00000162614,5646.183138,1.971140166,0.150213844,13.12222704,2.46E-39,2.69E-36
ENSG00000106976,989.0468336,-1.850171416,0.147802596,-12.51785464,5.96E-36,6.10E-33
ENSG00000187193,199.076938,3.255142485,0.260918541,12.47570401,1.01E-35,9.71E-33
ENSG00000256235,1123.479541,1.280118657,0.105504615,12.13329543,7.04E-34,6.35E-31
ENSG00000177666,2639.5702,1.139994615,0.096096672,11.86299784,1.84E-32,1.57E-29
ENSG00000164125,7257.008081,1.024852485,0.08660454,11.83370394,2.61E-32,2.11E-29
ENSG00000198624,2020.044955,2.81410139,0.240617018,11.69535479,1.35E-31,1.03E-28
ENSG00000123562,5008.552935,1.004545169,0.089043211,11.28154703,1.62E-29,1.18E-26
ENSG00000144369,1283.779797,-1.309003916,0.117172542,-11.1715927,5.62E-29,3.92E-26
ENSG00000196517,241.9153626,-2.345691436,0.210498179,-11.14352367,7.70E-29,5.14E-26
ENSG00000135821,19973.4,3.041394311,0.275986923,11.02006675,3.06E-28,1.95E-25
ENSG00000164647,1885.614895,1.547190516,0.142645376,10.84641195,2.07E-27,1.27E-24
ENSG00000157150,194.4192306,2.908783582,0.268519421,10.83267485,2.41E-27,1.42E-24
ENSG00000276600,308.7661334,-1.760829721,0.163014966,-10.80164458,3.38E-27,1.92E-24
ENSG00000163697,2417.256971,0.917525132,0.08599355,10.66969718,1.41E-26,7.73E-24
ENSG00000116285,3268.631916,2.440219769,0.229391727,10.63778454,1.99E-26,1.05E-23
ENSG00000181467,614.6948203,-1.261889403,0.118727306,-10.62846828,2.20E-26,1.12E-23
ENSG00000183044,534.2681359,1.006286258,0.095135408,10.57741039,3.79E-26,1.88E-23
ENSG00000162692,501.8041848,-3.533333636,0.334321675,-10.56866456,4.16E-26,2.00E-23
ENSG00000163884,574.1428646,4.537245752,0.431686933,10.51050056,7.73E-26,3.59E-23
ENSG00000273259,2004.067971,3.365498297,0.323425785,10.40578228,2.33E-25,1.05E-22
ENSG00000110756,990.6454866,1.490266312,0.147034077,10.13551646,3.84E-24,1.68E-21
ENSG00000119138,1717.466235,2.127875471,0.211771524,10.04797734,9.38E-24,4.00E-21
ENSG00000077684,1762.183097,1.189583419,0.118712629,10.02069812,1.24E-23,5.13E-21
ENSG00000103502,3348.303125,0.839753191,0.083942464,10.00391395,1.46E-23,5.91E-21
ENSG00000166482,27413.41289,-0.949287525,0.095371236,-9.953604143,2.43E-23,9.57E-21
ENSG00000185950,2275.982098,2.166509692,0.219960931,9.849520477,6.89E-23,2.64E-20
ENSG00000165995,513.1095734,3.006613778,0.305899153,9.828774436,8.46E-23,3.17E-20
ENSG00000103196,3096.159339,2.626034134,0.267444466,9.818988487,9.33E-23,3.41E-20
ENSG00000211445,12537.17993,3.770182837,0.385566267,9.778300535,1.40E-22,4.98E-20
ENSG00000157510,502.2453355,1.82248135,0.188087065,9.689562404,3.34E-22,1.16E-19
ENSG00000221869,1996.622739,1.51593634,0.157733402,9.610750266,7.20E-22,2.46E-19
ENSG00000197043,14235.88914,0.954687035,0.099376304,9.606787526,7.48E-22,2.50E-19
ENSG00000139289,2896.743761,-1.07092674,0.112150876,-9.548982416,1.31E-21,4.28E-19
ENSG00000131389,738.3951707,-1.963996236,0.205870139,-9.539976224,1.43E-21,4.57E-19
ENSG00000158246,70.91561243,2.344576815,0.246791862,9.500219311,2.09E-21,6.56E-19
ENSG00000145777,152.3446206,-2.715417894,0.288513326,-9.411759011,4.88E-21,1.50E-18
ENSG00000181061,2495.793836,1.269718802,0.135482316,9.371841556,7.13E-21,2.14E-18
ENSG00000157214,3042.424428,1.997820684,0.213879636,9.340864423,9.56E-21,2.82E-18
ENSG00000108821,102624.2793,-1.27736599,0.13739449,-9.297068508,1.44E-20,4.10E-18
ENSG00000151726,1467.323014,1.57907015,0.169817288,9.298641886,1.42E-20,4.10E-18
ENSG00000124766,1291.407901,-2.336548234,0.25161233,-9.286302592,1.60E-20,4.46E-18
ENSG00000141401,619.5132604,2.194854129,0.237401358,9.245330959,2.35E-20,6.42E-18
ENSG00000112837,2671.198155,-1.636663848,0.177536471,-9.218747208,3.01E-20,8.00E-18
ENSG00000157514,2226.72449,3.344282991,0.362793274,9.218150481,3.02E-20,8.00E-18
ENSG00000003402,3368.723351,1.162499555,0.126138593,9.216049783,3.08E-20,8.01E-18
ENSG00000169715,553.7025422,2.162155011,0.235809508,9.16907479,4.77E-20,1.20E-17
ENSG00000196975,4931.101562,1.128947479,0.123126456,9.169008165,4.77E-20,1.20E-17
ENSG00000128923,1481.507427,1.057915172,0.116165926,9.106931847,8.47E-20,2.10E-17
ENSG00000143320,1513.740321,-1.707634014,0.187609924,-9.102045248,8.86E-20,2.16E-17
ENSG00000177283,147.9516498,2.465179504,0.272279965,9.053840984,1.38E-19,3.31E-17
ENSG00000164484,814.4019875,-1.184890066,0.130918925,-9.050563645,1.42E-19,3.36E-17
ENSG00000157613,2823.89929,-0.967540965,0.107831459,-8.972715139,2.89E-19,6.72E-17
ENSG00000072958,2239.045343,1.10184711,0.123258164,8.939343819,3.91E-19,8.96E-17
ENSG00000019995,2150.37632,0.983999426,0.111190357,8.849683158,8.78E-19,1.98E-16
ENSG00000012048,241.1176436,-1.403526087,0.158931253,-8.831026399,1.04E-18,2.31E-16
ENSG00000154734,29872.98786,2.187810912,0.248554091,8.802152079,1.34E-18,2.94E-16
ENSG00000185432,3844.862296,2.271037296,0.25968266,8.745432969,2.22E-18,4.80E-16
ENSG00000159884,556.3661283,1.062664162,0.121903184,8.717279812,2.85E-18,6.04E-16
ENSG00000163513,13345.35481,1.470902041,0.168754418,8.716228365,2.88E-18,6.04E-16
ENSG00000139132,1181.855783,2.056883155,0.23652311,8.69633057,3.43E-18,7.11E-16
ENSG00000196136,739.3091787,3.196307373,0.370162215,8.634882869,5.88E-18,1.20E-15
ENSG00000172986,767.4008366,-1.641944006,0.190244861,-8.630687807,6.10E-18,1.23E-15
ENSG00000183160,2936.724057,-1.173210579,0.136047298,-8.6235493,6.49E-18,1.29E-15
ENSG00000103485,876.9835474,-1.120507711,0.130437759,-8.590363086,8.67E-18,1.71E-15
ENSG00000173838,68.61058505,3.423495249,0.399961442,8.559563224,1.13E-17,2.20E-15
ENSG00000169738,602.0498164,1.960405084,0.230195753,8.516252182,1.65E-17,3.16E-15
ENSG00000197321,9110.116965,-0.699698403,0.082262268,-8.505702839,1.80E-17,3.42E-15
ENSG00000146592,694.9759725,-2.049810962,0.24122806,-8.497398536,1.94E-17,3.63E-15
ENSG00000099860,373.6097197,1.415924487,0.167727769,8.441801209,3.12E-17,5.78E-15
ENSG00000128311,323.6231463,1.341589649,0.159039188,8.435591675,3.30E-17,6.02E-15
ENSG00000134253,144.9510682,-1.987005869,0.235896425,-8.423213132,3.66E-17,6.61E-15
ENSG00000253368,1051.873381,1.992983719,0.236805279,8.416128755,3.89E-17,6.94E-15
ENSG00000134243,5569.874228,2.212731058,0.263689138,8.391438009,4.80E-17,8.47E-15
ENSG00000162616,1478.625002,1.369342551,0.163270395,8.386961705,4.99E-17,8.70E-15
ENSG00000150907,688.476651,2.304964495,0.276331093,8.341314282,7.35E-17,1.27E-14
