genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mbp	-0.340782871091285	12.0766363457507	-6.63208889421198	1.32350940082125e-05	0.143997822809352	0.80356590792951
Plekhb1	-0.453131891869664	7.90600435878253	-5.64861043363813	6.77632542443714e-05	0.24575473539292	-0.582425375587747
Apod	-0.361796519994758	7.05639133507777	-5.77714198784833	5.43237424259883e-05	0.24575473539292	-0.684035317844511
Bcas1	-0.282484615623932	8.06874076802598	-5.01917598729486	0.000206697911586274	0.562218319514666	-1.01019788581579
Cnp	-0.303980789606179	8.93093690540957	-4.68638103155562	0.000380696939629146	0.828396540633021	-1.17168303672855
Mobp	-0.286103066210117	9.01888736134508	-4.3271928492849	0.000747015022208356	0.913062331018043	-1.48525417424009
Erbb3	-0.362554109793944	5.78676326204371	-4.49784487073685	0.000541317622151147	0.913062331018043	-1.92116107517853
Cntn2	-0.210911120654065	7.88170494105833	-3.96776704629383	0.0014862450948376	0.999940267207259	-1.93557331438635
Flnc	-0.39972181762792	5.73242834561477	-4.26593075888413	0.000839211701303349	0.913062331018043	-2.10415058485069
Gna12	-0.209475798502865	8.3145472119982	-3.61020916040499	0.00297660542800098	0.999940267207259	-2.24564743721873
Phldb1	-0.238878313967144	7.91164747159657	-3.61734884467054	0.00293539397691993	0.999940267207259	-2.270800028141
Rffl	-0.35568236167011	4.91341073689426	-4.28436730119136	0.000810295695522209	0.913062331018043	-2.42354480683541
Mag	-0.259382827264511	8.08313144904101	-3.39189124091182	0.00456326465727681	0.999940267207259	-2.48478529943768
Lap3	-0.28614894721501	6.11214874700854	-3.57943155606664	0.00316106916007449	0.999940267207259	-2.54522577981884
44443	-0.249038438911163	7.35141334113147	-3.30510142605093	0.0054098660009949	0.999940267207259	-2.62741702477716
Sox10	-0.297134588761549	6.32284014303882	-3.40032191961212	0.00448847572745924	0.999940267207259	-2.6656800422271
S1pr5	-0.360162647452258	5.58597279680452	-3.53099505283453	0.00347507569528156	0.999940267207259	-2.70640870231273
Gjc2	-0.238397028156304	5.54125342421997	-3.46751965691924	0.00393478925630787	0.999940267207259	-2.76704286314244
Mettl7a	-0.267664604463199	6.09310242916788	-3.29967476465985	0.00546775659498786	0.999940267207259	-2.79358316951168
Dennd5a	-0.16127948908289	9.2024575950659	-3.04033277383353	0.00909175796611098	0.999940267207259	-2.79524361334795
Clic4	-0.289076291660783	5.19645046179472	-3.47367471261404	0.00388764761832157	0.999940267207259	-2.85797838654777
Pcsk6	-0.282827516969329	5.19500164946365	-3.41102743114403	0.0043952800048113	0.999940267207259	-2.90554725587498
Dbp	-0.290837414076557	6.8130443450147	-3.07730898262532	0.00845652505872506	0.999940267207259	-2.90614445923631
Prima1	-0.419786189577541	4.01052461824533	-4.29155622822555	0.00079929993171246	0.913062331018043	-2.90808955462052
Myh14	-0.244101872473363	6.50386039441337	-3.08278069165873	0.00836634300201294	0.999940267207259	-2.93522478879534
Per3	-0.25883177880815	5.98945366976696	-3.12578333054598	0.00769007733733537	0.999940267207259	-2.96607677377034
Map7	-0.186409311103667	7.64842033591999	-2.94744664596496	0.0109036295214573	0.999940267207259	-2.97120806136931
Qdpr	-0.23785836869607	7.92483011390222	-2.93336150111724	0.0112078988716399	0.999940267207259	-2.97167431003548
Ush2a	0.562459614688165	4.63919608341068	3.57179513652647	0.00320860143138978	0.999940267207259	-2.9958233991693
Nbl1	-0.223460740144367	6.32965143568826	-3.03406295051827	0.00920406744616464	0.999940267207259	-3.00168485205092
Fnbp1	-0.18313958904908	7.38124477854777	-2.90087717322817	0.011941914059383	0.999940267207259	-3.03481086289798
Pllp	-0.226687900965806	5.99910455903606	-3.04486327573117	0.00901145093612621	0.999940267207259	-3.03708350830917
Prss12	0.446918563361228	4.26632936278949	3.74397690806724	0.00229333409559724	0.999940267207259	-3.04888902948355
Scara3	-0.173744183538143	6.33042094075807	-2.97370077343736	0.0103580909315844	0.999940267207259	-3.05809849092732
St6galnac3	-0.288938573400146	4.97665009262979	-3.27932007314616	0.00569048030637372	0.999940267207259	-3.06946468230324
Ano4	-0.241890815287515	6.22553359447786	-2.94903952117473	0.0108697372742448	0.999940267207259	-3.0939475129495
Padi2	-0.16068985916753	6.94968395905749	-2.86754350920878	0.0127443065968602	0.999940267207259	-3.1001531056569
Csrp1	-0.276298570962749	7.92709150998276	-2.78802205146367	0.0148785248796094	0.999940267207259	-3.12507778486874
Evi2a	-0.30354862958904	5.57801039451626	-2.99234611931446	0.0099871235924813	0.999940267207259	-3.1541305600514
Mog	-0.244634228985444	6.60381662729046	-2.835044673972	0.0135775429872984	0.999940267207259	-3.1632055780675
Pofut2	-0.251940662911152	4.95103513268194	-3.1590218890803	0.00720487393169324	0.999940267207259	-3.16519141620094
Me3	-0.234107102185209	6.25087680345174	-2.82574218124586	0.0138257397334085	0.999940267207259	-3.20659569380442
Plekhh1	-0.257980629466128	7.1368999105943	-2.74663671798707	0.0161239374677034	0.999940267207259	-3.20842037269129
Pld1	-0.276173339243893	5.15982600587818	-3.01883611247651	0.00948257715244858	0.999940267207259	-3.21815698420459
Gab1	-0.226245226824632	6.59869450870029	-2.77798601810996	0.0151716088642596	0.999940267207259	-3.21918894965627
RGD1311345	-0.252525607048709	4.59024384609902	-3.21840649227137	0.00641272344153881	0.999940267207259	-3.23552289372807
Klk6	-0.432282406747975	4.17155494274876	-3.46028540658244	0.00399093345020767	0.999940267207259	-3.24607176578608
Opalin	-0.420193472782205	7.22843671258779	-2.68273162389128	0.0182493545164953	0.999940267207259	-3.26871847066339
Sox8	-0.202061112255635	6.31407693362841	-2.74167282469064	0.016279991438028	0.999940267207259	-3.2796186222756
Ptpn11	-0.146554293938758	8.96969277122895	-2.60568944672452	0.0211756168297232	0.999940267207259	-3.28473382941765
Pik3ip1	-0.233252761764878	5.30849001872766	-2.88877198115768	0.0122273851617066	0.999940267207259	-3.29059277927749
Cbln4	0.708643743033954	5.08223724747126	2.98404236530636	0.0105141608431852	0.999940267207259	-3.29153271766088
Gpld1	-0.202588254678782	5.5562110955371	-2.83207260110804	0.013656360866206	0.999940267207259	-3.29434098071575
Wscd1	-0.16819729224651	7.71660268772792	-2.62638161304076	0.0203477773495826	0.999940267207259	-3.3039749220857
Plxnb3	-0.208985345855866	6.59940856769792	-2.66675481041805	0.0188219554301953	0.999940267207259	-3.32760738078643
Ldlrap1	-0.206377923480404	5.19169102152088	-2.86677020063226	0.0127635371325073	0.999940267207259	-3.33151172060838
Eif3d	0.162791340185799	5.71976973219955	2.75220677019125	0.0159505660890884	0.999940267207259	-3.33961024545017
Fa2h	-0.272958887559979	5.42026559888072	-2.79918901366667	0.0145589260382528	0.999940267207259	-3.34512111242409
Rpl38	-0.360652887244689	6.14271678293016	-2.68875525105097	0.0180378988471264	0.999940267207259	-3.3474098341424
Zfp846	0.262087349415228	4.80884800166988	2.9475742797747	0.0109009099657714	0.999940267207259	-3.36031447940911
Gad1	0.169166927694951	8.14819428231264	2.55232038957985	0.0234639596169785	0.999940267207259	-3.36744864454012
Polr1a	0.185697201970938	5.94958706979572	2.67477303112718	0.0185324366101739	0.999940267207259	-3.38037903636002
Myrf	-0.214552197185427	7.73028114497685	-2.5358801871559	0.0242157324664534	0.999940267207259	-3.39843213791184
Arhgef25	-0.146768941543315	7.14781877449623	-2.5486242146666	0.0236309909417803	0.999940267207259	-3.4090035913804
Galnt6	-0.25422964414753	4.61124173616388	-2.92397927663839	0.011415206812443	0.999940267207259	-3.42977617396952
Col9a2	-0.421783938737071	3.65998061087122	-3.51847106234304	0.00356127518078899	0.999940267207259	-3.43091282601967
Cx3cr1	-0.25130934631592	4.63124608271838	-2.88502241163571	0.0123171642655636	0.999940267207259	-3.45144908100341
Aebp1	-0.30903368424788	5.57163274048416	-2.63540538268635	0.0199966613855716	0.999940267207259	-3.46264371573906
Lpar1	-0.271621698421047	6.4525120491599	-2.53184275436455	0.0244038749072755	0.999940267207259	-3.46939199549065
RGD1559786	0.203639391046837	4.92785799552061	2.76177843415047	0.0156568860155658	0.999940267207259	-3.46992926682459
Slain1	-0.187978134340159	6.12736046523541	-2.55015480397399	0.0235616844862412	0.999940267207259	-3.47731423996489
Poll	-0.273773586911458	4.80484580639892	-2.78704615555659	0.0149067791848895	0.999940267207259	-3.4791411750198
Gsn	-0.219626649959689	7.39173630549099	-2.46214513887869	0.0278820982731787	0.999940267207259	-3.48691303292293
Otud7b	-0.177719475898426	7.23216044577618	-2.46750745370163	0.02759842564469	0.999940267207259	-3.48775974264163
Abcb1a	-0.185283161039997	5.71043510179939	-2.57695839616831	0.0223793160183868	0.999940267207259	-3.49595963410275
Ptpn9	0.204139597607234	5.45050066152971	2.61294240534088	0.0208817985152	0.999940267207259	-3.49787966640567
Rpn1	0.171075420614294	7.99413807971343	2.43238450020251	0.0295079283707557	0.999940267207259	-3.49926305749019
St6gal2	-0.287282810433593	4.57417868703807	-2.83730059199369	0.0135180153498378	0.999940267207259	-3.50016225462545
Hapln2	-0.316902484240281	6.24754703969335	-2.51473652391818	0.0252167480704034	0.999940267207259	-3.50106895703436
Sall1	-0.187554256983014	5.77474077997914	-2.5444020709182	0.0238231938925492	0.999940267207259	-3.51772020640748
Pnma2	0.163625030023502	6.31765740162397	2.48954641605172	0.026461335050433	0.999940267207259	-3.51914151236229
Cdc42ep1	-0.227517367297785	4.83586792195285	-2.70574380109122	0.0174542925088468	0.999940267207259	-3.53221074480355
Urb2	-0.262694449779787	4.79375701941157	-2.71585755910472	0.0171156327248599	0.999940267207259	-3.53414110908932
