genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Dbp	-0.55333553503922	6.68179612865626	-8.61963359218884	9.51294450496471e-08	0.00103500836214016	7.89346038343853
Cnp	-0.43090778367851	8.86750020301352	-7.80252562986474	3.91009427981638e-07	0.00212709128822011	6.74413802467501
Gstp1	-0.394503065417362	6.35735088961539	-7.1060945786995	1.39784828878387e-06	0.00506952979398951	5.43830052267653
Mbp	-0.26574825617325	12.1141529984024	-6.33946464139064	6.12992546507195e-06	0.0166733972649957	4.07309180877052
Vgf	0.598236580524477	5.66987854188146	6.15796728571839	1.037640576061e-05	0.018782680199945	3.55106735755546
Plekhb1	-0.382343142138005	7.94136610024903	-5.95380845681458	1.32858653936708e-05	0.018782680199945	3.38577521419115
Rbm3	-0.451202892759349	5.55690704955957	-5.93474124943813	1.38107942646654e-05	0.018782680199945	3.27421592935192
Myeov2	0.589871793146719	4.92891710329606	5.87365858459389	1.56411113533645e-05	0.0189083657249562	3.04598382829647
Gnaz	0.365161319978256	6.27196509416454	5.74405785922854	2.03999912788655e-05	0.0221951905114056	2.97099952516367
Hspa5	0.40756922790205	8.44465441970017	5.68203131009321	2.76780612369385e-05	0.0273761187507174	2.69921863592171
Ftl	-0.28535606945481	7.04826568581311	-5.43443748999318	3.88059703331466e-05	0.0326585372146085	2.37258165084475
Insig1	-0.334741410113495	6.12790245475026	-5.4317866192218	3.90221492453962e-05	0.0326585372146085	2.36578308540644
Gfod1	0.38024324946219	7.00426817847517	5.31251635156633	5.01451619581521e-05	0.0368874580815336	2.13026108220012
Ptpru	0.299299094851759	7.2236039382136	5.20551844133683	6.28833596259681e-05	0.0368874580815336	1.91133134195166
Etv5	0.326970884242508	6.78217570886641	5.19360947194417	6.449281304995e-05	0.0368874580815336	1.89543932497865
44443	-0.300193376969146	7.32586243794761	-5.14401498508435	7.16622454152055e-05	0.0368874580815336	1.78473751320604
Eng	0.428590852095334	4.88594705840962	5.15467652218411	7.00550421755689e-05	0.0368874580815336	1.74182783581282
Nr1d2	-0.373922862688032	6.01443546225857	-5.05276076703822	8.70603005385662e-05	0.0401409304266091	1.62016475159435
Gne	0.331793921512197	5.90832858883989	5.0448455779228	8.85461700586965e-05	0.0401409304266091	1.60368585818121
Wsb1	-0.276403846198708	6.73992488400844	-4.99413867681626	9.87004187137537e-05	0.0409898904234945	1.49407738996475
Pon2	-0.344847021904588	5.93394990535041	-4.98023528700753	0.000101687241804745	0.0409898904234945	1.47592630916245
Klhl29	0.265647309252265	6.67519653237898	4.95301949839321	0.00010780404721954	0.0409898904234945	1.41222706378179
Uqcrb	0.392718983544422	5.50946386574532	4.92952485199451	0.000113386242159681	0.0409898904234945	1.36785398486114
Scn2b	0.333534729490467	7.20922895021789	4.93529810705748	0.000111987766779293	0.0409898904234945	1.36213806068429
Mif	0.340769551196223	7.21525044228624	4.91576746932875	0.000116791048081648	0.0409898904234945	1.32197973716713
Parp14	-0.724621425207854	3.50416197968607	-5.18986416903827	6.50076496305298e-05	0.0368874580815336	1.29593787037399
Zic2	-0.52825359287113	4.70118837854198	-4.93107360923368	0.000113009340609185	0.0409898904234945	1.29522472952467
Cirbp	-0.280309926959178	6.26066974655769	-4.83752366274167	0.000138240690884639	0.045577536873481	1.18733680142439
Thrsp	-0.442344938547776	4.41007778807209	-4.89578620478687	0.000121923032764665	0.0414538311399862	1.17459520082527
Ascl1	0.643950614639262	3.13073020218038	5.25356877878302	5.67962982299334e-05	0.0368874580815336	1.14560526839269
Sdf2l1	0.718526911858549	3.22921483928632	5.18842886714087	6.52060628455504e-05	0.0368874580815336	1.11558615028835
Prrt1	0.302037548841406	8.21305542798709	4.81498859636932	0.000145134765901551	0.0464431250884964	1.08667488158895
