genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Nbl1	-0.360528867566845	6.26112879515916	-5.91719469039738	3.35593127756387e-05	0.0658664063959758	2.50212478617015
Ptn	0.449120696628616	7.63943804476954	5.60107361067606	5.90329122594006e-05	0.0658664063959758	2.05009250959835
Zfp563	0.577917912067199	4.82130144659148	5.70560078816835	4.89026111608088e-05	0.0658664063959758	1.94707524189368
Clic4	-0.460674719215051	5.11085056987572	-5.64897224924774	5.41435904988384e-05	0.0658664063959758	1.93986639668355
Kcna4	0.379657690107092	6.47874467176487	5.51792114022434	6.86432644297841e-05	0.0658664063959758	1.87971142105665
Dbp	-0.476965886928877	6.71992109696781	-5.47506522481477	7.42192301218351e-05	0.0658664063959758	1.81880463304185
Mbp	-0.493150857070917	12.0005562932678	-5.38391906885137	8.77022494321188e-05	0.0658664063959758	1.67803144192337
Lcp1	0.507782346277707	5.47082273202668	5.41091970355985	8.34612906495092e-05	0.0658664063959758	1.63079829422122
Fam129b	-0.365947788560974	5.8820476998531	-5.09642136703004	0.000149553602222471	0.0658664063959758	1.15659841670276
Gabra5	0.342484060846011	7.46668376343415	5.02734083503647	0.000170286873205319	0.0658664063959758	1.07362974305077
Kcnt2	0.493767104964824	6.37016511804823	4.98974104926841	0.000182801675379987	0.0658664063959758	0.994880757318856
Rasa2	0.438429911187364	5.30705041758603	5.01814604354997	0.000173262978059874	0.0658664063959758	0.982693242760727
Arl2	-0.41053564186263	5.04995886654898	-4.98322718531663	0.000185064723554386	0.0658664063959758	0.89479153969272
B3galt2	0.700328508971787	6.30297353345094	4.92503892254258	0.000206613186256344	0.0658664063959758	0.882148050653935
Hltf	0.563984264981186	6.06165797527615	4.92527667077271	0.000206520050579684	0.0658664063959758	0.875887421149372
Cd24	0.383680055797927	5.86493907264171	4.84183398731258	0.000242030498317565	0.0658664063959758	0.727526670965617
Paqr7	-0.462567546979781	5.04074487607605	-4.87570012939661	0.000226912754481672	0.0658664063959758	0.719370155611064
Eif5b	0.294603106745904	6.68163163997626	4.82514426889065	0.000249859802286045	0.0658664063959758	0.716414964374363
Gstt3	-0.576738266615203	5.4063934863848	-4.84121972357231	0.000242314115788972	0.0658664063959758	0.699392170590382
Slc25a46	0.340696203919244	6.73710088487269	4.76897494454266	0.000278185412388716	0.0658664063959758	0.61871613245633
Rps6ka4	-0.353210410455087	5.45550159819895	-4.7791061453488	0.000272841462280545	0.0658664063959758	0.600883308092707
Nrn1	0.394565637943058	7.19400458969541	4.73479371667153	0.000297025740475434	0.0658664063959758	0.559555102242945
Ube2n	0.397239672723691	6.66240277211994	4.72398108510629	0.000303255779603499	0.0658664063959758	0.539362762363019
Vamp4	0.307760578567056	6.10664074277243	4.70445796329437	0.00031484822349732	0.0658664063959758	0.498799709710164
Fam135a	0.427561370859341	6.38070267031185	4.68067551824696	0.00032958955215651	0.0658664063959758	0.46125489548983
Lrig2	0.274843203001358	6.67861944220211	4.67890948694833	0.000330712199702025	0.0658664063959758	0.460224305847554
Arf3	-0.344459514812481	7.83523297384902	-4.66988988520499	0.00033650763730977	0.0658664063959758	0.440870526623279
Ccnd3	-0.3951780890228	4.94946133526602	-4.6852903344769	0.000326674465795022	0.0658664063959758	0.397868569328892
Slc39a7	-0.360298155545377	5.95732560432204	-4.64244646401603	0.000354793197500369	0.0658664063959758	0.388163686329232
Cnr1	0.353391432855741	8.75541719755363	4.63294457240149	0.000361360310819332	0.0658664063959758	0.365900800454827
Znrf2	0.377837112591829	6.00209922506485	4.60918303166307	0.000378336432405427	0.0658664063959758	0.331256524989817
Mdm4	0.401224616256184	6.36341027634505	4.58155334527357	0.000399112695228902	0.0658664063959758	0.287166907604596
Cntn2	-0.339214564053608	7.81763809480227	-4.57974124732284	0.000400515682740808	0.0658664063959758	0.278631472395817
Pak3	0.402106910571201	6.83274398764583	4.57563697924869	0.000403712141902597	0.0658664063959758	0.277500043935396
Myh14	-0.452266703529119	6.39998760081003	-4.57081668806774	0.000407499792174452	0.0658664063959758	0.268439518441756
Hmgcs1	0.288503545702669	8.58991331265824	4.57454110913869	0.00040457005241845	0.0658664063959758	0.261436268008373
Rb1	0.493417039038949	6.49983502109475	4.54314207641085	0.000429964606807841	0.0658664063959758	0.219848917022704
Alkbh8	0.500385908279696	5.17105531019656	4.52293164279951	0.000447172247582481	0.0658664063959758	0.148316959316748
Ndst4	0.457394757063134	5.09236640561589	4.52479993577892	0.000445552249626312	0.0658664063959758	0.145559101253554
Twistnb	0.63726033542791	4.3400118504574	4.5877148611986	0.00039437996056721	0.0658664063959758	0.131432351029702
Serpini1	0.525202125155241	8.07781777720075	4.48993164157119	0.000476806283172187	0.0658664063959758	0.113145838418882
Psd	-0.364176764837232	8.90395556746047	-4.49427842849983	0.000472790179588258	0.0658664063959758	0.110781072504853
Samd4a	-0.360676390146937	5.53502647990497	-4.48695634329633	0.000479575429798615	0.0658664063959758	0.107364974360613
Bnip3	0.381129630725429	6.76470624057403	4.47720093687137	0.00048877137840019	0.0658664063959758	0.102069997592642
Zfp157	0.411333590366189	5.82755225401075	4.47285828678496	0.00049292307050871	0.0658664063959758	0.0903576496470446
