genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gpr22	0.599261676264603	7.07911005424392	9.40269703439655	3.7912031251949e-08	9.89949732533938e-05	9.03410078212924
B3galt2	0.744687088909785	6.32529611719775	9.18506914357737	5.30510427313281e-08	9.89949732533938e-05	8.66686744823966
Pcmtd1	0.52822870838571	7.68180692315699	9.10191305597601	6.0405505645092e-08	9.89949732533938e-05	8.60565811552576
Luc7l3	0.48511407772324	7.59384086503518	9.06086438441766	6.44226027328148e-08	9.89949732533938e-05	8.54221999639021
Tubb4a	-0.39059143179789	10.1208526447331	-8.96794092485993	7.45855201068077e-08	9.89949732533938e-05	8.40242531346898
Hltf	0.687569276152252	6.1236352656607	8.85517754061109	8.92176908892081e-08	9.89949732533938e-05	8.16262294472565
Eif3e	0.641728900033966	6.37815865249248	8.76652520733118	1.02819967434226e-07	9.89949732533938e-05	8.05103975769536
Rock2	0.489670222774361	9.22662939175783	8.70740132471424	1.13085377386554e-07	9.89949732533938e-05	7.99988077816157
Ssb	0.614788741597286	6.5446810353734	8.63647809619231	1.26831467851589e-07	9.89949732533938e-05	7.86228355255733
Elavl2	0.529286564976237	6.62712575799602	8.63285806366144	1.27578383047446e-07	9.89949732533938e-05	7.8608573558714
Abca2	-0.397544506251293	9.67296378509283	-8.62138060184658	1.29977092317351e-07	9.89949732533938e-05	7.85879828991639
Skiv2l2	0.488903800644633	6.31721094535965	8.50160122687299	1.5801971147253e-07	9.89949732533938e-05	7.64244661717517
Zfand5	0.493431381682687	7.80013938230417	8.47324344969647	1.65543018086833e-07	9.89949732533938e-05	7.63097474166156
Rab6a	0.493207312541154	9.63796567224759	8.46250317969066	1.68489412296556e-07	9.89949732533938e-05	7.60300129714469
Gjc2	-0.575668048192409	5.37272060860701	-8.54860534807091	1.46327128513724e-07	9.89949732533938e-05	7.60065955244105
Orc4	0.58858369067261	5.41294233218504	8.50608301627243	1.56863821205687e-07	9.89949732533938e-05	7.54405070445975
Azin1	0.471498538396082	7.49429435593166	8.41572645034062	1.81976053774621e-07	9.89949732533938e-05	7.53791782483772
Sumo1	0.490963042104089	6.40193684607434	8.42976733236396	1.77813078015071e-07	9.89949732533938e-05	7.53519963979104
Fkbp3	0.606729045258867	6.59424215528428	8.41760625897305	1.81412849961876e-07	9.89949732533938e-05	7.52395698039499
Esco1	0.645510550311009	5.71600664391024	8.45645397843125	1.70172998893238e-07	9.89949732533938e-05	7.51716257334086
Phldb1	-0.451435344617633	7.80543297931998	-8.35437597426981	2.01397820913904e-07	0.000103829542388697	7.4402996065257
Mbp	-0.452762151881016	12.0206930371634	-8.32929977845253	2.09949442330085e-07	0.000103829542388697	7.33596917838154
Rpl18a	-0.419811299104491	7.09970016074905	-8.27393447503205	2.30202840770321e-07	0.000108895952503526	7.3073556896727
Gpcpd1	0.496540834058469	7.10545802682477	8.06647035261961	3.26200465850377e-07	0.000147877544518837	6.97050199713794
Ppp1cb	0.585945885225335	8.68185670259745	8.18141807843265	3.83489389823177e-07	0.000152159635190916	6.83661740354356
Nrn1	0.503834201175512	7.24869133793323	7.92666752512616	4.13848507175624e-07	0.000152159635190916	6.74020706155569
Mllt11	0.398062030446196	7.84652974374966	7.89372115970739	4.37883631231606e-07	0.000152159635190916	6.68228309134678
Myh14	-0.450338308877565	6.40083279834884	-7.89156283113275	4.3950820540697e-07	0.000152159635190916	6.67331398106775
Prpf40a	0.521547207653123	6.36565202586641	7.86125166846933	4.63000158728841e-07	0.000152159635190916	6.62227196852176
Fbxo11	0.488962553081266	7.38928065860397	7.82096007968396	4.96274421608393e-07	0.000152159635190916	6.56317604814277
Sacm1l	0.528446848092777	6.66214985471834	7.80812318903005	5.07392534864013e-07	0.000152159635190916	6.54025972270957
Ugp2	0.485980582809696	6.32572344384914	7.79330566133205	5.20550091141912e-07	0.000152159635190916	6.50929820374341
Eml2	-0.433478595979899	7.51368621275275	-7.76533910575248	5.46363269406537e-07	0.000152159635190916	6.46860472368413
