genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gstp1	-0.455323980760443	6.35218582098359	-7.38405780249641	1.96674791636082e-06	0.0213982173300057	5.05758130200829
Apod	-0.436129242322107	7.04348492066338	-6.11520011299289	1.7777323093982e-05	0.0593837734051762	3.14661099789507
Etv5	0.392432936500412	6.79300603031799	5.9727203680292	2.30783031255297e-05	0.0593837734051762	2.90115972678508
Cnp	-0.389046895877764	8.91002526547115	-5.83122439979989	2.9988124386138e-05	0.0593837734051762	2.67743901930661
Dbp	-0.547046730300793	6.71528588344661	-5.91056185557181	3.27484044513839e-05	0.0593837734051762	2.59154313587315
Vgf	0.589893951547902	5.63293232964448	5.56959227366032	5.89324482165694e-05	0.0816566773226216	1.99442413458621
Tacr3	0.847266000393608	3.28665659136665	6.18676278571002	1.5609778380672e-05	0.0593837734051762	1.88641059678458
Gne	0.341800318471634	5.89443921269252	5.39530595468226	6.83452529078833e-05	0.0816566773226216	1.8695216473378
Chpt1	-0.390870488293544	5.30698420215071	-5.40275501389678	6.73757631694129e-05	0.0816566773226216	1.81391079392768
44443	-0.300473186074054	7.34240698755053	-5.30774648267929	8.08858557171121e-05	0.0816566773226216	1.74282284916994
Pex11a	0.805766732310143	3.64637714954909	5.29715034044837	8.25573024401505e-05	0.0816566773226216	1.07605748697539
Scara3	-0.297308460801513	6.28513156054991	-4.79150409826153	0.000222622301597087	0.142806640896451	0.801305206433929
Tpbg	0.715928689157698	3.58127378770188	5.08419692249634	0.000124902354152471	0.11324480109824	0.742708113038538
Sssca1	0.419700306884304	4.85123244695937	4.79949500220001	0.000219108778653122	0.142806640896451	0.739812032236503
Scd1	-0.450388055719159	5.41828369454078	-4.74717718410496	0.000243191575715325	0.142806640896451	0.697028359401481
Per3	-0.343941917743392	5.96601347702699	-4.70721339991929	0.000263408370817066	0.142806640896451	0.64492995749163
S100b	-0.2419974095962	9.8636748206853	-4.73653291011435	0.000248415389848969	0.142806640896451	0.643472650406749
Plekhb1	-0.423977989060019	7.94410808154265	-4.81338522455781	0.000270658310554489	0.142806640896451	0.634950859438776
Tmem132d	0.360144189893099	5.35863456798579	4.70436061217804	0.00026491593451257	0.142806640896451	0.623275985770061
Serinc2	0.473040193193857	4.53236848242063	4.7335751847081	0.000249887291452938	0.142806640896451	0.572267467077366
Pcsk6	-0.355066940483991	5.17880231386273	-4.6347915511605	0.000304554090173465	0.142806640896451	0.48219335593325
Arntl	0.313835863932939	5.70519508752714	4.61797981831434	0.000315014649036289	0.142806640896451	0.479514915026632
Mbp	-0.253882077591363	12.1341995096193	-4.65320920994197	0.000293502331549446	0.142806640896451	0.431023949150426
Padi2	-0.245142289756	6.92105239152687	-4.53594338093975	0.000371599121332944	0.161719937604097	0.316456021917361
Galt	0.543098502276528	4.15462764931185	4.6287443949959	0.000308275100381277	0.142806640896451	0.306728988249751
Clmp	-0.367383966559264	5.69776262529364	-4.49251423674959	0.00040566782693178	0.163469109519177	0.24909332504837
Fam98c	0.512513976896217	4.77217081952686	4.50690874268695	0.000394035266783863	0.163469109519177	0.22579083960079
Lpar1	-0.362411892399953	6.4273883653417	-4.44255973713314	0.000448834123031155	0.168390181330309	0.151427349245457
Rsph10b	-0.358956193808335	5.14301916240225	-4.40316586830979	0.000486168868670867	0.175339520756048	0.0686460242579443
Adamts2	0.447445296862769	4.328994356475	4.45536201873807	0.00043734256399073	0.168390181330309	0.0656625595898328
Hspa5	0.415689643828129	8.42561989651489	4.54984080285414	0.000499588708036535	0.175339520756048	0.0613774795167954
Rffl	-0.329311958355178	4.94499132364336	-4.36714164931727	0.000523085319109194	0.17625668483875	-0.00923320875421307
Pde10a	0.240664439807665	6.73349847020396	4.35643292203228	0.000534602077176355	0.17625668483875	-0.0209707244071886
Pllp	-0.288723734323677	5.98415277150359	-4.33437319565159	0.000559148952682694	0.178927664858462	-0.0437669286218449
Nr1d2	-0.341663777087099	6.04951327587215	-4.31123652805661	0.000586131805160329	0.182203258289839	-0.0879147267795233
Camk1g	0.352494719272106	5.05928502068327	4.28590242917629	0.000617204331116358	0.186532864515166	-0.141588304017073
Cd9	-0.395935409310018	5.81591811141956	-4.2613766864274	0.00064888573635849	0.190807481394064	-0.17747153288154
Aifm3	0.313412464816711	6.0910853439378	4.18434080082483	0.000759596983543399	0.20409764881324	-0.329312659761865
Hdac4	0.290745203988904	6.79941060967764	4.17825862253015	0.000769117978064598	0.20409764881324	-0.363994705306846
Rab3c	0.343225050419617	6.28933385362038	4.11543103698687	0.000874864569644001	0.216330148130153	-0.466362247218532
Sdk2	0.320158778321006	6.49050417951457	4.11645531612378	0.000873027176469075	0.216330148130153	-0.471472195934878
Fth1	-0.244221139636576	10.1886324785043	-4.15546672779652	0.000805889037342442	0.208763636340137	-0.498421660509605
Gltp	-0.327243976278765	5.24591048359619	-4.06444384868838	0.000971470854818502	0.229773976096202	-0.539979561137771
Rnase4	-0.344449960492037	5.63557069450153	-4.04486766528604	0.00101137919618829	0.234123524564438	-0.578360382083563
Sf1	0.200293386870599	7.69730256350641	4.08005748463838	0.000940788715968291	0.227461805105222	-0.582104781093951
Flnc	-0.411212714888642	5.74957828455612	-3.99352368148892	0.00119998238357535	0.247087794193678	-0.724443957465191
RGD1311739	0.326343000453942	4.9816386275629	3.95564621107008	0.00121541608767596	0.247087794193678	-0.740906887624607
Rbm3	-0.363119793973984	5.62096629469406	-3.94217552119484	0.00124965858107035	0.247087794193678	-0.769691386777382
Zc3h3	0.279673299428082	5.60735634167794	3.93608849606856	0.00126545052376324	0.247087794193678	-0.782807975308304
Ccl27	0.50964472049418	4.44075779490095	3.95016223779731	0.00124217061831526	0.247087794193678	-0.787028587698865
Rfx1	0.366860534911075	5.55629680515478	3.91228429600323	0.00132917069635826	0.247087794193678	-0.826045442629101
Elavl4	0.25365718549951	5.89469488477544	3.90124734565837	0.00135980673057239	0.247087794193678	-0.858437938678899
Sgsm1	0.270156669226299	8.01542310954629	3.940104863404	0.00125500810844231	0.247087794193678	-0.86455353587298
Arhgap26	0.293147214411749	6.50518112435867	3.90128690878513	0.00135969564693838	0.247087794193678	-0.884951282656257
Tmbim1	-0.41611311511412	4.65317298022534	-3.88290134995765	0.00141231917215301	0.247087794193678	-0.887830738853815
Pde8b	0.264058055275973	5.89103245963112	3.88373046970128	0.00140990230542469	0.247087794193678	-0.891512192669442
Fezf2	0.397323984053257	5.38193146762788	3.86362610412939	0.00148957043727555	0.251569952849464	-0.921915872616622
Klk6	-0.478444333125786	4.17500747485357	-3.88746287859739	0.00139907406660739	0.247087794193678	-0.933974683847331
Ankrd52	0.217353657337875	6.64960638915578	3.87662621514715	0.00143074733770236	0.247087794193678	-0.938777935790655
