genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gstp1	-0.436762718416077	6.33623996923648	-7.34675816975047	4.88557093507078e-06	0.0531550117735701	3.72469403000543
Plekhb1	-0.446861114979173	7.90918043731607	-6.48059797473286	1.84330530154475e-05	0.0668505389360231	2.90239837843093
44443	-0.411296182185043	7.27035690231952	-6.52123188704687	1.7280991085649e-05	0.0668505389360231	2.90033858424309
Fnbp1	-0.326990681721976	7.30938443639998	-5.54574267592719	8.66606037561146e-05	0.174125590137982	1.5770535086584
Mbp	-0.430510404524528	12.0317853192156	-5.41320253618196	0.000108991830864639	0.174125590137982	1.50138934554885
Ldlrap1	-0.449790915401564	5.07029652806664	-5.57987395058297	8.17242670054289e-05	0.174125590137982	1.28841353103075
Slc25a14	0.370628446967349	5.36798604816578	5.39740554471227	0.000112029331890246	0.174125590137982	1.13269382495113
Gna12	-0.327256480189059	8.25570904443036	-5.03399516137538	0.000212828731561452	0.210640972041407	0.843085515458574
Cnp	-0.414276365673324	8.87580728786885	-4.8995902557808	0.000271045368435634	0.210640972041407	0.642438901836713
Erbb3	-0.395421616038274	5.77065968202994	-4.99238726853451	0.000229313292179692	0.210640972041407	0.637092332288614
Samd4a	-0.362305402376967	5.53428674558856	-4.94426761598167	0.000250047006782551	0.210640972041407	0.534284313237898
Rffl	-0.397493000668564	4.89299500208059	-5.04155630239842	0.000209968059853579	0.210640972041407	0.531130278569329
Eml2	-0.416820553755109	7.52218185188307	-4.82209331518624	0.000311926670213425	0.225590290525036	0.49161525591119
Tob2	-0.541983098441808	5.05226822058242	-4.93841494536053	0.000252698623211416	0.210640972041407	0.429126946129359
Phldb1	-0.419885370623932	7.82130553945806	-4.72385295305664	0.000373137123861471	0.225590290525036	0.342934273838448
Apod	-0.331181533324813	7.07173785610628	-4.70308003394709	0.000387605197150476	0.225590290525036	0.289001516241505
Rps6ka4	-0.336963394475371	5.46360937512377	-4.69421759274702	0.000393953632350707	0.225590290525036	0.159161531208214
Padi2	-0.362747383493334	6.84882169364395	-4.61241056537393	0.000457898774739007	0.241454075266951	0.136928486692547
Wscd1	-0.319564513869952	7.640981418311	-4.58588897309306	0.000480864509424682	0.241454075266951	0.117551907882661
Pik3c2b	-0.347070909862283	6.35332514411063	-4.5776551904699	0.000488234343370674	0.241454075266951	0.0600872973867794
Ftl	-0.289583380570951	7.04615365815272	-4.4901137168283	0.000574213025711461	0.271627726945248	-0.0511792065609091
Cpsf4	-0.4844719516543	4.19933416271579	-4.70121089613985	0.000388935235568575	0.225590290525036	-0.152891698777928
Col9a2	-0.643570968325371	3.54942844340032	-4.93904084395885	0.000252413661803311	0.210640972041407	-0.204524389986781
RGD1304694	-0.343416011399364	7.01443750388655	-4.3257529274499	0.000780471811688105	0.326597435044869	-0.318295185798471
Rgma	-0.361498326888373	6.38849519844241	-4.33581597439206	0.000765878315580938	0.326597435044869	-0.320902084414753
Clic4	-0.369462522525106	5.15641083802005	-4.35067561737932	0.000744841094468905	0.326597435044869	-0.395946657878057
Tpgs2	0.297798631659216	5.97911001535806	4.27357715434877	0.00086086490183936	0.331023059961153	-0.438352696934957
Pllp	-0.425518703205183	5.89979684351103	-4.24992224060624	0.000900076137535928	0.331023059961153	-0.480603160354043
Stac2	-0.497844821023427	5.37734705376779	-4.24112575363527	0.000915122279178528	0.331023059961153	-0.536294641249841
Stk40	-0.385184865604923	5.64675278728593	-4.19202458387645	0.00100399335619221	0.334568447506568	-0.588120034067627
Mag	-0.446366698294063	7.98976932090426	-4.15203723807949	0.00108289980927559	0.334568447506568	-0.594399514831391
Cntn2	-0.25831323262279	7.85799216242088	-4.10639125492291	0.00118080301814589	0.334568447506568	-0.671761316883442
Hba1	-1.06668296325194	6.22529944147941	-4.12509531106746	0.00124357054682145	0.334568447506568	-0.733011486047482
Tprn	-0.387977977742539	5.03641726760342	-4.10223454092974	0.00119015832895088	0.334568447506568	-0.787126154411469
Elovl1	-0.350709320902808	5.20089669503145	-4.05738356133663	0.00129607273639741	0.334568447506568	-0.836387849369295
Gltp	-0.337120638539388	5.22296622862477	-4.03091585565627	0.00136306255685783	0.334568447506568	-0.875008502265043
Tspan13	0.294872757295804	7.6926912976766	3.98260937338801	0.00149461693730544	0.334568447506568	-0.881273173319284
Kcna4	0.365771608504358	6.47158799885904	3.97217090690669	0.00152471233208766	0.334568447506568	-0.909651051684715
Zfp286a	0.40039844515235	3.78608389964291	4.22511696772068	0.000943172321580491	0.331023059961153	-0.922047962709938
Erf	-0.357179062639084	5.47220005182889	-3.96983429664831	0.00153153357531207	0.334568447506568	-0.950441081007241
Tmem109	-0.294601887223434	4.76233817267934	-4.00615010033808	0.0014289572500941	0.334568447506568	-0.96998911673671
Alad	-0.346618037217569	4.58983817458235	-4.01651465153398	0.00140099194157399	0.334568447506568	-0.984289349411769
Tubb4a	-0.326917269570604	10.1527437654817	-3.89466232893371	0.00176847119779223	0.334568447506568	-1.04059914396609
Lpl	0.434602715635237	6.07759719789385	3.89626087804404	0.0017630615686215	0.334568447506568	-1.04285395897594
Pgm2l1	0.445184787807529	8.8128720452024	3.88887101177896	0.00178821186227155	0.334568447506568	-1.0429137842486
Sox8	-0.322502640294148	6.25385883985235	-3.88631438847067	0.00179699798837544	0.334568447506568	-1.05497456477953
Sorcs3	0.231440434169982	6.70005292119455	3.87550414324503	0.00183463852626393	0.334568447506568	-1.06681153449564
Sertm1	0.36649930234314	6.80549102400904	3.87023332183709	0.00185328208213397	0.334568447506568	-1.07468752818839
Zfp846	0.420235688687509	4.88784680602263	3.92381161393009	0.00167243805602551	0.334568447506568	-1.07803891512117
Lcp1	0.434068447838145	5.43421776872411	3.87834457679912	0.00182467104722801	0.334568447506568	-1.0986370433941
Gjc2	-0.366332605362233	5.47720056615893	-3.8647557304949	0.00187286196461047	0.334568447506568	-1.11708339629892
